	交易日期,	记账日期,	交易摘要,	交易地点,	卡号末四位,	人民币金额,	交易地金额
	2019-08-18,	2019-08-19,	捷付-有品信息科技有限公司,	CN,	0666,	￥228.73,"228.73"
	2019-08-18,	2019-08-19,	支付宝-上海拉扎斯信息科技有限公司,	CN,	0116,	￥47.00,"47.00"
	2019-08-18,	2019-08-19,	支付宝-上海拉扎斯信息科技有限公司,	CN,	0116,	￥22.30,"22.30"
	2019-08-18,	2019-08-19,	支付宝-上海壹佰米网络科技有限公司,	CN,	0116,	￥25.03,"25.03"
	2019-08-19,	2019-08-20,	美团点评-美团支付-美团支付,	CN,	0666,	￥170.00,"170.00"
	2019-08-19,	2019-08-20,	支付宝-外婆家餐饮集团有限公司,	CN,	0666,	￥3.00,"3.00"
	2019-08-19,	2019-08-20,	支付宝-上海拉扎斯信息科技有限公司,	CN,	0116,	￥146.27,"146.27"
	2019-08-20,	2019-08-21,	回馈金-天天红包,	,	0666,	￥-1.00,"-1.00"
	2019-08-20,	2019-08-21,"支付宝-HQG, Limited",	CN,	0666,	￥67.00,"67.00"
	2019-08-20,	2019-08-21,	支付宝-钟建,	CN,	0666,"￥2,000.00","2,000.00"
	2019-08-21,	2019-08-22,	嘀嗒出行,	CN,	0666,	￥34.87,"34.87"
	2019-08-21,	2019-08-22,	支付宝-津味(上海)餐饮管理有限公,	CN,	0666,	￥12.00,"12.00"
	2019-08-21,	2019-08-22,	支付宝-林玲萍,	CN,	0666,	￥42.00,"42.00"
